ems_no,fac_name,county_name,document_no,transgress_date,transgress_law,penalty_money,penalty_date,ispetition,petition_results,appeal_or_rescind,transgress_type,fac_address,transgress_name,openinfor,lawsuit_date_1,illegal_money,track_illegal_money,petition_agency,ban,transgress_address,subject,gist_define,improve_deadline,inspection_condition,transgress_control_id,is_improve,inspection_datetime_s,penaltykind,isimportant,paymentstate,isreminder,isadmincourt,isreducemoney,allow_rework_date,fac_city_code,fac_area_code,transgress_city_code
F06097045442,三豐營造有限公司,桃園市,22-115-050155,2026-03-21,噪音管制法第8條第4款,3000,2026-05-29,0,,,噪音污染,新北市新莊區新北大道三段五號六樓之二,三豐營造有限公司,案經本府環境保護局於115年3月21日(星期六)中午12時56分前往稽查，現場正以切割機、釘槍進行切割、釘木板作業中，產生明顯噪音致妨害他人生活環境安寧。,,0,0,,53513303,桃園市龜山區善捷段139、140地號等2筆土地,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,F06097045442,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,65000,65000050,68000
H52097001980,億翔物流股份有限公司,桃園市,21-115-010375,2025-09-23,空氣污染防制法第40條第3項,2000,2026-01-16,0,,,移動污染,桃園市新屋區頭洲里民族路六段五七九巷六二號,億翔物流股份有限公司,"查貴公司所有車輛（車號：6K-039、營業大貨車）於114年9月23日行經「桃園市內壢空氣品質維護區」，且於本府查證日前一年內，非排煙檢測合格之車輛，核已違反「桃園市內壢空氣品質維護區移動污染源管制措施」及空氣污染防制法第40條第3項規定，爰依同法第76條第2項暨「移動污染源違反空氣污染防制法裁罰準則」規定，處新臺幣2,000元罰鍰。",,0,0,,49809584,桃園市八德區台一線(鄰近中油茄冬站),罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,H52097001980,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,68000,68000110,68000
E21100002673,進饌製冰有限公司,高雄市,41-115-041073,2025-12-05,廢棄物清理法第27條第1款,1200,2026-04-29,0,,,一般廢棄物,高雄市大樹區瓦厝街六之一○二號,進饌製冰有限公司,駕駛車輛隨地拋棄煙蒂。車號:BNF-2606,,0,0,,83480223,高雄市前鎮區瑞北路127號前,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第1款之規定，並依廢棄物清理法第50條第3款及違反廢棄物清理法罰鍰額度裁罰準則裁處。,,,E21100002673,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,64000,64000150,64000
H42097031728,裕欣營造有限公司,桃園市,40-115-030004,2026-02-06,廢棄物清理法第31條第1項第2款,6000,2026-03-02,0,,,事業廢棄物,桃園市桃園區大興西路二段二五五號六樓,裕欣營造有限公司,經本局於115年2月6日至環境部資源循環署「事業廢棄物申報及管理資訊系統」查詢瑞陞建設有限公司-集合住宅新建工程［執照號碼：（114）桃市都建執照字第會平01427號］廢棄物之產出、貯存、清除申報資料，發現該工程於115年1月21日動工後至115年2月6日止未依規定上網申報該營建工程廢棄物產出、貯存情形，上開行為核已違反廢棄物清理法第31條第1項第2款規定。,,0,0,,69535774,桃園市平鎮區湧星段988地號等8筆,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第31條第1項第2款之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,H42097031728,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,68000,68000010,68000
E2210747,光彌實業股份有限公司,高雄市,41-115-040955,2026-03-18,廢棄物清理法第27條第2款,4800,2026-04-27,0,,,一般廢棄物,高雄市仁武區環湖路一○○號,光彌實業股份有限公司,工地施工，車輛進出輪胎夾帶泥土，致污染地面。,,0,0,,97225053,高雄市仁武區仁安三巷,罰鍰新臺幣4800元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款及違反廢棄物清理法罰鍰額度裁罰準則裁處。,,,E2210747,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,64000,64000170,64000
I26097012380,金宏昇通運企業有限公司,新北市,21-115-019924,2025-04-28,空氣污染防制法第40條第3項,2000,2026-01-28,1,訴願駁回,,移動污染,嘉義市港坪里大同路六五一號一樓,金宏昇通運企業有限公司,車輛(車號:KLG-****)行經本市公告之空氣品質維護區，惟查該車輛未有一年內排煙檢驗合格紀錄。,2026-03-10,0,0,地方審議機關,89507712,新北市板橋區民生路二段198號前,罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項規定及新北市政府113年12月9日新北府環空字第1132406904號公告事項二、(一)規定，爰依空氣污染防制法第76條第2項及移動污染源違反空氣污染防制法裁罰準則第2條附表一項次七規定。,,,I26097012380,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,10020,10020000,65000
J61097001880,新竹物流股份有限公司,新北市,21-115-019714,2025-07-03,空氣污染防制法第40條第3項,2000,2026-01-27,0,,,移動污染,新竹縣新豐鄉松柏村德昌街二二八號,新竹物流股份有限公司,車輛(車號:**-JD)行經本市公告之空氣品質維護區，惟查該車輛未有一年內排煙檢驗合格紀錄。,,0,0,,46480100,新北市板橋區縣民大道一段181號對面,罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項規定及新北市政府113年12月9日新北府環空字第1132406904號公告事項二、(一)規定，爰依空氣污染防制法第76條第2項及移動污染源違反空氣污染防制法裁罰準則第2條附表一項次七規定裁處。,,,J61097001880,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,10004,10004060,65000
F17097011483,宗基五金有限公司,新北市,30-115-030003,2024-07-12,水污染防治法第14條第1項,0,2026-03-04,0,,,水污染,新北市林口區粉寮路二段八號,宗基五金有限公司蘆洲廠,貴公司蘆洲廠係屬水污染防治法事業分類及定義之金屬表面處理業，惟未領有廢(污)水排放許可證或簡易排放許可文件，逕行排放廢(污)水於地面水體。,,0,0,,23000565,新北市蘆洲區國道路二段30巷31號,命自裁處書送達日起貴公司蘆洲廠停工。處環境講習8小時整。,"違反水污染防治法第14條第1項規定，爰依水污染防治法第45條第1項規定裁處。
依環境教育法第23條暨環境講習執行辦法第4條、第8條第1項及第3項規定裁處環境講習。依環境教育法第23條第1款之規定裁處環境講習",,,F14A9175,不須改善,,勒令停工,否,不須繳納,否,否,,,65000,65000170,65000
N14097000578,尊龍通運有限公司,苗栗縣,21-115-040290,2026-03-26,空氣污染防制法第40條第3項,2000,2026-04-21,0,,,移動污染,彰化縣二林鎮萬興里溪底巷一八之三一號二樓,尊龍通運有限公司,貴公司所有車輛(車號：079-X7)於115年3月26日行經本縣第二期空氣品質維護區（頭份市永貞國小），經查該車輛出廠滿三年且一年內未經任一縣市環境保護局排煙檢驗合格。,,0,0,,16662151,苗栗縣頭份市永貞國小(第二期空氣品質維護區),罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,N14097000578,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,10007,10007200,10005
N11097017427,百麗樹藝園,苗栗縣,21-115-040213,2026-03-30,空氣污染防制法第40條第3項,2000,2026-04-20,0,,,移動污染,彰化縣員林市中央里田中央巷一一弄一六號,百麗樹藝園,貴園所有車輛(車號：KEL-0360)於115年3月30日行經本縣第三期空氣品質維護區（竹南科學園區），經查該車輛出廠滿三年且一年內未經任一縣市環境保護局排煙檢驗合格。,,0,0,,39944891,苗栗縣竹南鎮竹南科學園區(第三期空氣品質維護區),罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,N11097017427,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,10007,10007100,10005
A43097027580,永生車業有限公司,臺北市,21-115-043168,2026-04-08,空氣污染防制法第44條第1項,3000,2026-04-20,0,,,移動污染,臺北市士林區華齡街七一號,永生車業有限公司,逾規定期限6個月未實施114年度機車排氣定期檢驗。(移動污染源類型A(不適用)，違規情節B=1，得加重或減輕裁罰事項C=0),,0,0,,97106606,各縣市環保局指定之排氣檢驗場所,罰鍰新臺幣3000元整。,違反空氣污染防制法第44條第1項之規定，並依空氣污染防制法第80條第3項裁處。,,,A43097027580,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,63000,63000110,63000
A36097012939,信一預拌混凝土股份有限公司,臺北市,21-115-040025,2026-01-02,空氣污染防制法第44條第1項,500,2026-04-09,0,,,移動污染,臺北市中正區寶慶路三七號八樓,信一預拌混凝土股份有限公司,逾規定期限未實施114年度機車排氣定期檢驗。(移動污染源類型A(不適用)，違規情節B=1，得加重或減輕裁罰事項C=0),,0,0,,23636102,各縣市環保局指定之排氣檢驗場所,罰鍰新臺幣500元整。,違反空氣污染防制法第44條第1項之規定，並依空氣污染防制法第80條第1項裁處。,,,A36097012939,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,63000,63000050,63000
A43097034478,展嘉資源處理有限公司,臺北市,41-115-051916,2026-03-30,廢棄物清理法第27條第2款,2400,2026-05-25,0,,,一般廢棄物,臺北市士林區承德路四段三一一號八樓,展嘉資源處理有限公司-同怡混合物分類處理場,"污染地面、池溏、水溝、牆壁、樑柱、電桿、樹木、道路、橋樑或其他土地定著物。(輪胎泥痕污染路面)(污染程度A=2,污染特性B=1,危害程度C=1)(依「臺北市政府環境保護局各類違反環保法令案件裁罰基準」第5點經專案簽報核准。)",,0,0,,89624802,臺北市內湖區潭美街533號旁,罰鍰新臺幣2400元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,A42A2443,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,,,63000,63000110,63000
B23097028148,銘嘉工程行,彰化縣,41-115-010336,2025-10-13,廢棄物清理法第27條第1款,1200,2026-01-12,0,,,一般廢棄物,臺中市西屯區惠來里市政北七路一八六號五樓之二,銘嘉工程行,"經查臺端駕駛車牌號碼：KEU-7273車輛，於114年10月13日9時39分行經本縣和美鎮嘉卿路一段與線東路七段交叉路口（座標：24.131436,120.52514）時，經攝錄拋棄一般廢棄物，致污染環境衛生。",,0,0,,87037686,"彰化縣和美鎮嘉卿路一段與線東路七段交叉路口（座標：24.131436,120.52514）",罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第1款之規定，並依廢棄物清理法第50條第3款裁處。,,,B23097028148,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,66000,66000060,10007
K6806502,正昇汽車運輸股份有限公司,新北市,21-115-051825,2025-12-26,空氣污染防制法第40條第3項,2000,2026-05-26,0,,,移動污染,苗栗縣苗栗市玉華里四鄰復興路三段一一四號,正昇汽車運輸股份有限公司,車輛(車號:KLD-****)行經本市公告之空氣品質維護區，惟查該車輛未有一年內排煙檢驗合格紀錄。,,0,0,,49664449,新北市板橋區民生路二段198號前,罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項及新北市政府113年12月9日新北府環空字第1132406904號公告事項二、（一）規定，爰依空氣污染防制法第76條第2項暨移動污染源違反空氣污染防制法裁罰準則第2條附表1項次七規定裁處。,,,K6806502,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,,,10005,10005010,65000
